Carrier,Optimized capacity [MW],Annual generation [GWh]
coal,0.0,0.0
gas,2509.4177418466825,12609.975140164017
nuclear,0.0,0.0
offwind,4391.690741067231,14996.556292787482
onwind,0.0,0.0
solar,17004.5113587866,22859.418848017165
