snapshot,DK demand [MW],Battery charge [MW],DK solar generation [MW],DK onwind generation [MW],DK offwind generation [MW],DK gas CCGT generation [MW],DK coal generation [MW],DK nuclear generation [MW],DK exchange with NO [MW],DK exchange with SE [MW],DK exchange with DE [MW]
2016-01-18 00:00:00,3390.79,0.0,0.0,0.0,1103.9259210965408,556.0308748941939,0.0,0.0,-151.38893199691157,633.6110680030885,1248.6110680030883
2016-01-18 01:00:00,3345.51,0.0,0.0,0.0,1154.7290162749898,556.0308748941939,0.0,0.0,-183.41663038972783,601.5833696102721,1216.5833696102723
2016-01-18 02:00:00,3358.58,0.0,0.0,0.0,790.7761577480628,556.0308748941939,0.0,0.0,-57.742344214085584,727.2576557859144,1342.2576557859145
2016-01-18 03:00:00,3479.16,0.0,0.0,0.0,857.2109745198807,556.0308748941939,0.0,0.0,-39.69394980469169,745.3060501953083,1360.3060501953084
2016-01-18 04:00:00,3763.56,0.0,0.0,0.0,1069.1839904123776,556.0308748941939,0.0,0.0,-15.55162176885726,769.4483782311428,1384.448378231143
2016-01-18 05:00:00,4454.49,0.0,0.0,0.0,1298.034112310902,556.0308748941939,0.0,0.0,138.47500426496808,923.475004264968,1538.475004264968
2016-01-18 06:00:00,5216.95,0.0,0.0,0.0,1447.4372975398317,556.0308748941939,0.0,0.0,342.8272758553246,1127.8272758553246,1742.8272758553244
2016-01-18 07:00:00,5457.08,0.0,9.933010733452424,0.0,1220.734390145891,556.0308748941939,0.0,0.0,495.127241408821,1280.127241408821,1895.1272414088212
2016-01-18 08:00:00,5398.14,0.0,234.78025369978457,0.0,1110.8399518013002,556.0308748941939,0.0,0.0,437.16297320157383,1222.1629732015738,1837.1629732015735
2016-01-18 09:00:00,5390.69,0.0,738.8805484224949,0.0,1626.3432100617406,556.0308748941939,0.0,0.0,94.81178887385651,879.8117888738566,1494.8117888738566
2016-01-18 10:00:00,5342.53,0.0,1080.8921679947775,0.0,1472.8173729840103,556.0308748941939,0.0,0.0,15.92986137567265,800.9298613756727,1415.9298613756728
