Country,CH4 consumed by CCGT [GWh],Electricity into electrolysis [GWh]
DK,11088.375271101628,-4.123749274582487e-15
DE,240689.64572408347,-1.4580023981079706e-14
SE,28796.76310129082,-4.897150873349055e-16
NO,156183.38476248336,1580.6556715100417
