Line,PyPSA flow p0 [MW],Manual PTDF flow [MW],Difference [MW]
DK-DE,-671.9877766182183,-671.9877766182184,-1.1368683772161603e-13
DK-NO,728.0122233817817,728.012223381782,2.2737367544323206e-13
DK-SE,-1286.9877766182183,-1286.9877766182183,0.0
DE-NO,1400.0,1400.0000000000002,2.2737367544323206e-13
DE-SE,-615.0,-614.9999999999998,2.2737367544323206e-13
NO-SE,-2015.0,-2015.0000000000002,-2.2737367544323206e-13
