Line,Annual imports to DK [GWh],Annual exports from DK [GWh],Line capacity [GW],Share of year near capacity [%]
DK-NO,1894.4750945812775,7573.591031090306,1.632,39.0
DK-SE,4467.074421594877,3663.0940337269876,2.415,11.2
DK-DE,5009.185496085506,3594.7572709312867,3.5,0.0
