snapshot,DK demand [MW],Battery charge [MW],DK balance electricity [MW],DK balance battery charger [MW],DK balance solar [MW],DK balance offshore wind [MW],DK balance battery discharger [MW],DK exchange with NO [MW],DK exchange with SE [MW],DK exchange with DE [MW]
2016-01-18 00:00:00,3390.79,0.0,-3390.79,-0.0,0.0,919.3639003195078,0.0,856.2050056448188,500.1105470178367,1115.1105470178368
2016-01-18 01:00:00,3345.51,0.0,-3345.51,-0.0,0.0,961.6733803661109,0.0,1322.6960811667125,223.0702692335883,838.0702692335884
2016-01-18 02:00:00,3358.58,0.0,-3358.58,-0.0,0.0,658.5686944870231,0.0,1365.9797526364844,359.51577643824646,974.5157764382465
2016-01-18 03:00:00,3479.16,0.0,-3479.16,-0.0,0.0,713.8964760864271,0.0,1348.9453072366325,400.65910833847,1015.65910833847
2016-01-18 04:00:00,3763.56,0.0,-3763.56,-0.0,0.0,890.4303674727607,0.0,1247.91433439005,505.10764906859464,1120.1076490685948
2016-01-18 05:00:00,4454.49,0.0,-4454.49,-0.0,0.0,1081.0197327883545,0.0,1025.629493061152,866.4203870752467,1481.4203870752467
2016-01-18 06:00:00,5216.95,0.0,-5216.95,-0.0,0.0,1205.444653398779,0.0,753.7482629085448,1321.3785418463378,1936.3785418463378
2016-01-18 07:00:00,5457.08,0.0,-5457.08,-0.0,12.780100572404743,1016.6435163184599,132.53973801445147,704.377705032959,1489.377705032959,2104.377705032959
2016-01-18 08:00:00,5398.14,0.0,-5398.14,-0.0,302.07510443865755,925.121995237093,0.0,709.5076513393019,1423.217624492474,2038.217624492474
2016-01-18 09:00:00,5390.69,0.0,-5390.69,-0.0,950.6652084881981,1354.43982996188,0.0,457.40816664572196,1006.5883974521026,1621.5883974521025
2016-01-18 10:00:00,5342.53,0.0,-5342.53,-0.0,1390.707307742589,1226.5815111397278,0.0,396.15722153766086,857.0419797900107,1472.0419797900106
2016-01-18 11:00:00,5268.42,0.0,-5268.42,-0.0,1966.1022903319933,1295.893237538981,2801.649771858329,-972.1541975306783,-187.15419753067832,427.8458024693217
2016-01-18 12:00:00,5252.96,0.0,-5252.96,-0.0,1835.1062594648445,1688.5523934406335,0.0,-151.8995509684927,633.1004490315073,1248.1004490315072
2016-01-18 13:00:00,5141.96,0.0,-5141.96,-0.0,1119.130170578988,1842.340021674271,0.0,-1.50339741775319,783.4966025822469,1398.4966025822469
2016-01-18 14:00:00,5051.06,0.0,-5051.06,-0.0,344.191344961355,1727.1781233225706,0.0,264.89684390535837,1049.8968439053583,1664.8968439053583
2016-01-18 15:00:00,5204.67,0.0,-5204.67,-0.0,18.58923719622508,1897.1313348030928,0.0,367.983142666894,1152.983142666894,1767.9831426668943
2016-01-18 16:00:00,5705.07,0.0,-5705.07,-0.0,0.2904568311910169,2008.96712863719,0.0,651.585029891145,1214.6136923202373,1829.6136923202373
2016-01-18 17:00:00,5489.76,0.0,-5489.76,-0.0,0.0,1901.744963650102,0.0,680.3956853457153,1146.3096755020915,1761.3096755020917
2016-01-18 18:00:00,5087.69,0.0,-5087.69,-0.0,0.0,2069.1946556012385,0.0,277.8317814662537,1062.8317814662537,1677.831781466254
2016-01-18 19:00:00,4751.63,0.0,-4751.63,-0.0,0.0,2704.444853900278,0.0,-45.938284633425994,739.061715366574,1354.061715366574
2016-01-18 20:00:00,4438.27,0.0,-4438.27,-0.0,0.0,2925.219511827311,0.0,-223.9831706091036,561.0168293908964,1176.0168293908964
2016-01-18 21:00:00,4102.61,0.0,-4102.61,-0.0,0.0,3074.3219820845293,0.0,-385.5706606948432,399.4293393051568,1014.4293393051569
2016-01-18 22:00:00,3678.74,0.0,-3678.74,-0.0,0.0,3088.1628686255563,1155.033976569271,-907.723147807097,-122.72314780709706,492.2768521929029
2016-01-18 23:00:00,3510.5,0.0,-3510.5,-0.0,0.0,2923.753164674386,0.0,-532.751054891462,252.248945108538,867.2489451085381
2016-01-19 00:00:00,3398.85,3866.950064301264,-3398.85,-3866.950064301264,0.0,3248.9245869767656,0.0,610.6251591081663,1395.6251591081661,2010.6251591081664
2016-01-19 01:00:00,3417.17,0.0,-3417.17,-0.0,0.0,3015.6680959675136,0.0,-594.4993653225046,190.50063467749547,805.5006346774954
2016-01-19 02:00:00,3419.12,3866.950064301264,-3419.12,-3866.950064301264,0.0,3030.15274467324,0.0,690.3057732093414,1475.3057732093414,2090.3057732093416
2016-01-19 03:00:00,3472.17,0.0,-3472.17,-0.0,0.0,3236.800399541602,0.0,-649.8767998472007,135.12320015279934,750.1232001527993
2016-01-19 04:00:00,3717.93,3866.950064301264,-3717.93,-3866.950064301264,0.0,3032.4059122496865,0.0,789.158050683859,1574.158050683859,2189.158050683859
2016-01-19 05:00:00,4401.28,2188.328351626501,-4401.28,-2188.328351626501,0.0,2987.4140898501705,0.0,472.3980872587766,1257.3980872587767,1872.3980872587767
2016-01-19 06:00:00,5146.89,0.0,-5146.89,-0.0,0.0,2883.1961482983525,0.0,26.231283900549357,811.2312839005493,1426.2312839005492
2016-01-19 07:00:00,5411.54,0.0,-5411.54,-0.0,2.0331978183371184,2640.712399595084,0.0,288.5930269048845,932.600687840847,1547.6006878408468
