Line,bus0,bus1,PyPSA flow p0 [MW],Line capacity [MW],Loading [%]
DK-DE,DK,DE,-671.9877766182183,3500.0,19.199650760520523
DK-NO,DK,NO,728.0122233817817,1632.0,44.60859211898172
DK-SE,DK,SE,-1286.9877766182183,2415.0,53.29141932166536
DE-NO,DE,NO,1400.0,1400.0,100.0
DE-SE,DE,SE,-615.0,615.0,100.0
NO-SE,NO,SE,-2015.0,3645.0,55.281207133058984
