,Solar [MW],Onshore [MW],Offshore [MW],CCGT [MW],Coal [MW],Nuclear [MW],Battery energy [MWh],Battery power [MW],Objective [bn EUR]
Base case,4008.2264347125497,0.0,4676.5267281965735,5368.016702400159,0.0,0.0,0.0,0.0,3.3932307270024444
Storage case,4734.223214674646,0.0,4642.949113401909,4184.252066084206,0.0,0.0,3768.637888096728,1214.6317972376755,3.304400589320927
