scenario,pipeline_capacity_mw,pipeline_energy_gwh,electricity_interconnector_energy_gwh,objective_eur,route_DE_NO_gwh,route_DE_SE_gwh,route_DK_DE_gwh,route_DK_NO_gwh,route_DK_SE_gwh,route_NO_SE_gwh,pipeline_share
CH4_pipeline,31200.0,64387.07682169451,100588.5292177505,74173149872.81882,16761.146270640573,14170.530870876306,7915.729500387212,16985.66941669193,8554.00076309849,0.0,0.6401035716737803
H2_pipeline,19800.0,31604.923976738668,103539.05642542882,75154068750.69879,9831.49860708575,3905.742893508289,4143.788177521228,10177.151173507798,3546.743125115604,0.0,0.30524639752247745
