scenario,objective_eur,pipeline_energy_gwh,electricity_interconnector_energy_gwh,pipeline_capacity_mw,pipeline_routes,pipeline_links,route_DK_NO_gwh,route_DK_SE_gwh,route_DK_DE_gwh,route_DE_SE_gwh,route_NO_SE_gwh,route_DE_NO_gwh
CH4_pipeline,74173149872.81882,64387.07682169451,100588.5292177505,82200.0,6,"['CH4_pipeline_DK_NO', 'CH4_pipeline_DK_SE', 'CH4_pipeline_DK_DE', 'CH4_pipeline_DE_SE', 'CH4_pipeline_NO_SE', 'CH4_pipeline_DE_NO']",16985.66941669193,8554.00076309849,7915.729500387212,14170.530870876306,0.0,16761.146270640573
H2_pipeline,75154068750.69879,31604.923976738668,103539.05642542882,78000.0,6,"['H2_pipeline_DK_NO', 'H2_pipeline_DK_SE', 'H2_pipeline_DK_DE', 'H2_pipeline_DE_SE', 'H2_pipeline_NO_SE', 'H2_pipeline_DE_NO']",10177.151173507798,3546.743125115604,4143.788177521228,3905.742893508289,0.0,9831.49860708575
