carrier,optimal_capacity_mw,annual_generation_mwh,capacity_factor,curtailment_mwh
offshore wind,4676.5267281965735,14973376.915248802,0.3645054355724323,1912157.0323154249
CCGT,5368.016702400159,11832905.696036711,0.25094885460939637,0.0
solar,4008.2264347125497,5489886.638714486,0.15592609468335647,41695.8020562858
coal,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0
onshore wind,0.0,0.0,0.0,0.0
