co2_cap_fraction,co2_cap_mt,system_cost_eur,actual_emissions_mt,capacity_solar_mw,capacity_onwind_mw,capacity_offwind_mw,capacity_gas CCGT_mw,capacity_coal_mw,capacity_nuclear_mw,generation_solar_mwh,generation_onwind_mwh,generation_offwind_mwh,generation_gas CCGT_mwh,generation_coal_mwh,generation_nuclear_mwh,battery_energy_mwh,battery_charger_mw,battery_discharger_mw
1.0,inf,3330398996.8087325,3.6855816430325605,4838.028462460907,0.0,4687.379862012663,4169.439375335997,0.0,0.0,6624680.981912039,0.0,15093664.363525772,10610007.760245249,0.0,0.0,3857.4370516791114,2422.9202236211195,1225.4045946430917
0.8,2.9484653144260484,3367548270.7134886,2.9484653144260475,6076.850974306346,0.0,5269.253501839696,3854.4857026708573,0.0,0.0,8181474.652414698,0.0,15686139.212384729,8488006.208196197,0.0,0.0,6838.55711451343,2946.62390303589,1490.2704737297922
0.6,2.2113489858195363,3520000212.111422,2.2113489858195536,8051.281481316035,0.0,5878.526816612783,3550.863341526899,0.0,0.0,10386151.329772446,0.0,15646618.948529761,6366004.656147199,0.0,0.0,12036.013104334546,3442.02915946592,1740.8242771614266
0.4,1.4742326572130242,3811838005.9305844,1.4742326572130076,7314.782064367057,0.0,4947.851506584698,2870.3602080201013,0.0,796.5958762875966,9468878.499045711,0.0,13532301.81554786,4244003.104098052,0.0,5157422.702462212,11814.585903694202,3388.6919562482817,1713.8487072474386
0.3,1.1056744929097682,3986092242.4811726,1.1056744929097797,6535.235044241344,0.0,4226.845247596323,2492.817678419697,0.0,1334.3234043965838,8525260.49930606,0.0,12040609.408448936,3183002.3280736078,0.0,8646258.212552868,10435.95303094798,3205.249950861322,1621.0719521317594
0.2,0.7371163286065121,4200972847.8461795,0.7371163286065158,5277.900180229845,0.0,3577.6009336826523,2078.0568971229754,0.0,1965.3576733369541,6995247.508717965,0.0,10622746.584232017,2122001.5520490604,0.0,12633144.107645996,7607.590937414384,2894.345864222682,1463.830581761375
0.1,0.36855816430325605,4505922973.460177,0.36855816430325855,4348.456814927836,0.0,2780.3099070886205,1549.386954418316,0.0,2665.354403831144,5829251.360171419,0.0,8643495.945830626,1061000.776024532,0.0,16827666.438886262,6584.92985315569,2703.245462694549,1367.1805526817
