generator,2015,2016,2017,mean,min,max
DK_CCGT,5417.427659216655,5361.788765294964,5259.445120019759,5346.220514843792,5259.445120019759,5417.427659216655
DK_coal,0.0,0.0,0.0,0.0,0.0,0.0
DK_nuclear,0.0,0.0,0.0,0.0,0.0,0.0
DK_offshore_wind,3110.383264165217,4741.122362281495,4805.057532301138,4218.854386249283,3110.383264165217,4805.057532301138
DK_onshore_wind,2818.9193160986815,0.0,0.0,939.6397720328938,0.0,2818.9193160986815
DK_solar,3578.6482260030652,4056.42421196822,3674.7504897999497,3769.9409759237446,3578.6482260030652,4056.42421196822
