weather_year,solar,onshore wind,offshore wind,CCGT,coal,nuclear
2015,3499.2149436039986,2829.962677089373,3053.0911208756793,5731.783443895776,0.0,0.0
2016,4056.42421196822,0.0,4741.122362281495,5361.788765294964,0.0,0.0
2017,3716.2145788583484,0.0,4740.755473378008,5798.663846347364,0.0,0.0
2018,3984.2380577517947,217.0245273806086,4474.6589648274685,5473.112303191301,0.0,0.0
2019,3874.35387366997,5268.134628898672,1374.8055696581698,5266.08029266862,0.0,0.0
