,mean_capacity_mw,median_capacity_mw,std_capacity_mw,min_capacity_mw,max_capacity_mw,range_capacity_mw,relative_range
onshore wind,1663.0243666737308,217.0245273806086,2344.1832611088753,0.0,5268.134628898672,5268.134628898672,3.167803632027136
offshore wind,3676.886698204164,4474.6589648274685,1465.3969900320078,1374.8055696581698,4741.122362281495,3366.3167926233255,0.9155345456435944
solar,3826.089133170466,3874.35387366997,223.22296562882153,3499.2149436039986,4056.42421196822,557.2092683642213,0.14563415774438407
CCGT,5526.285730279606,5473.112303191301,231.30752420419273,5266.08029266862,5798.663846347364,532.5835536787436,0.09637278629308174
coal,0.0,0.0,0.0,0.0,0.0,0.0,
nuclear,0.0,0.0,0.0,0.0,0.0,0.0,
