weather_year,solar,onshore wind,offshore wind,CCGT,coal,nuclear,solar_cf_mean,onshore_wind_cf_mean,offshore_wind_cf_mean,wind_advantage,load_mean_mw,load_peak_mw
2015,3499.2149436039986,2829.962677089373,3053.0911208756793,5731.783443895776,0.0,0.0,0.13743051822578764,0.29203062732233953,0.4342254728772903,0.14219484555495077,3678.0621107305933,5818.91
2016,4056.42421196822,0.0,4741.122362281495,5361.788765294964,0.0,0.0,0.15711035658295175,0.22595052529544835,0.4110541624155542,0.18510363712010586,3676.704149590164,5818.91
2017,3716.2145788583484,0.0,4740.755473378008,5798.663846347364,0.0,0.0,0.1592201297237735,0.2723941384210224,0.4590138819649153,0.18661974354389294,3678.0621107305933,5818.91
2018,3984.2380577517947,217.0245273806086,4474.6589648274685,5473.112303191301,0.0,0.0,0.19398344644511784,0.24998853005098054,0.3899150709972013,0.13992654094622076,3678.0621107305933,5818.91
2019,3874.35387366997,5268.134628898672,1374.8055696581698,5266.08029266862,0.0,0.0,0.1953580718405917,0.2692013272107553,0.37670478284329123,0.10750345563253594,3678.0621107305933,5818.91
